stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ADELOSG3,62,Adelaide at NE Osgoode NB - #62,,42.942427,-81.213344,,,,,,0
ADELOSG4,63,Adelaide at SE Osgoode SB - #63,,42.937296,-81.20903,,,,,,0
ADELOSG5,64,Adelaide at SE Osgoode NS NB - #64,,42.937249,-81.208782,,,,,,0
ADELOSG6,65,Adelaide at SW Osgoode SB - #65,,42.939001,-81.2102,,,,,,0
ADELOSG7,66,Adelaide at Osgoode 3 NB - #66,,42.939237,-81.210169,,,,,,0
ADELOXF1,67,Adelaide at Oxford  NB - #67,,43.00054,-81.23728,,,,,,0
ADELOXF2,68,Adelaide at Oxford SB - #68,,43.000449,-81.237393,,,,,,0
ADELPAMA,69,Adelaide at Pall Mall SB - #69,,42.996487,-81.235428,,,,,,0
ADELPIC1,70,Adelaide at Piccadilly NB - #70,,42.99887,-81.236488,,,,,,0
ADELPIC2,71,Adelaide at Piccadilly SB - #71,,42.999014,-81.236686,,,,,,0
ADELPRIN,72,Adelaide at Princess SB - #72,,42.992506,-81.233465,,,,,,0
ADELQUEE,73,Adelaide at Queens SB - #73,,42.990215,-81.232309,,,,,,0
ADELREG1,74,Adelaide at Regent NB - #74,,43.010802,-81.242321,,,,,,0
ADELROSE,76,Adelaide at Rosedale SB - #76,,42.993791,-81.234088,,,,,,0
ADELSDAL,77,Adelaide at Southdale SB - #77,,42.943708,-81.214531,,,,,,0
ADELSJA1,78,Adelaide at St. James NB - #78,,43.002071,-81.238032,,,,,,0
ADELSJA2,79,Adelaide at St. James SB - #79,,43.002171,-81.238249,,,,,,0
ADELTENN,80,Adelaide at Tennant NB - #80,,43.030415,-81.252305,,,,,,0
ADELTERR,81,Adelaide at Terrace NB - #81,,42.972963,-81.224651,,,,,,0
ADELTHO1,82,Adelaide at Thompson NB - #82,,42.968564,-81.222737,,,,,,0
ADELTHO2,83,207 Adelaide - #83,,42.964134,-81.220869,,,,,,0
ADELTHO4,84,Adelaide at Thompson SB - #84,,42.967775,-81.222568,,,,,,0
ADELTHO6,85,155 Adelaide SB - #85,,42.965996,-81.221812,,,,,,0
ADELTHO8,86,247 Adelaide SB - #86,,42.962455,-81.219962,,,,,,0
ADELVIC1,87,Adelaide at Victoria NB - #87,,43.008164,-81.241064,,,,,,0
ADELVIC2,88,Adelaide at Victoria SB - #88,,43.008394,-81.241297,,,,,,0
ADELWIN1,89,Adelaide at Winderemere NB - #89,,43.023541,-81.248807,,,,,,0
ADELWIN2,90,Adelaide at Winderemere SB - #90,,43.023444,-81.249048,,,,,,0
ADMIBON1,93,Admiral at Bonaventure EB - #93,,43.003065,-81.154082,,,,,,0
ADMIBON2,94,Admiral at Bonaventure WB - #94,,43.003092,-81.154332,,,,,,0
ADMICAR1,95,Admiral at Carlyle EB - #95,,43.001932,-81.158102,,,,,,0
ADMICAR2,96,Admiral at Carlyle WB - #96,,43.00203,-81.158034,,,,,,0
ADMIKIP1,97,319 Admiral - #97,,42.999776,-81.161407,,,,,,0
ADMIKIP3,99,Admiral at Kipling EB - #99,,42.997513,-81.161871,,,,,,0
ADMISOVE,100,Admiral at Sovereign WB - #100,,43.004599,-81.148364,,,,,,0
ADMIVAU1,101,Admiral at Vaubois EB - #101,,43.002464,-81.156352,,,,,,0
ADMIVAU3,102,Admiral at Vaubois WB - #102,,43.002581,-81.15622,,,,,,0
ADMIVMP2,104,Admiral at Veterans Memorial Pkwy WB - #104,,43.003977,-81.150998,,,,,,0
ALDEARD1,114,Aldersbrook at Ardsley NB - #114,,43.001538,-81.314869,,,,,,0
ALDEARD2,115,Aldersbrook at Ardsley SB - #115,,43.001494,-81.314973,,,,,,0
ALDEAURO,116,Aldersbrook at Aurora SB - #116,,42.993378,-81.307808,,,,,,0
ALDEBARR,117,Aldersbrook at Barrydale SB - #117,,42.993947,-81.311052,,,,,,0
ALDEBLA2,119,Aldersbrook at Blackacres SB - #119,,43.011434,-81.321682,,,,,,0
ALDEBLA3,120,Aldersbrook north of Blackacres NB - #120,,43.012055,-81.321538,,,,,,0
ALDEBRAN,121,Aldersbrook at Brandy Lane NB - #121,,42.994024,-81.311112,,,,,,0
ALDEBRU1,122,Aldersbrook at Brunswick NB - #122,,42.999184,-81.315359,,,,,,0
ALDEBRU2,123,Aldersbrook at Brunswick SB - #123,,42.999267,-81.31545,,,,,,0
ALDEGAI1,126,Aldersbrook at Gainsborough NB - #126,,43.003132,-81.315752,,,,,,0
ALDEGAI2,127,Aldersbrook at Gainsborough SB - #127,,43.003719,-81.316164,,,,,,0
ALDEHAW1,128,Aldersbrook at Hawthorne NB - #128,,43.006761,-81.318598,,,,,,0
ALDEHAW2,129,Aldersbrook at Hawthorne SB - #129,,43.006554,-81.318479,,,,,,0
ALDELAW1,130,Aldersbrook at Lawson NB - #130,,42.994294,-81.312784,,,,,,0
ALDELAW2,131,Aldersbrook at Lawson SB - #131,,42.994256,-81.312906,,,,,,0
ALDERAN1,132,Aldersbrook at Ranchwood NB - #132,,43.004819,-81.317311,,,,,,0
ALDEREX1,134,Aldersbrook at Rexway NB - #134,,43.008857,-81.320511,,,,,,0
ALDEREX2,135,Aldersbrook at Rexway SB - #135,,43.008817,-81.320612,,,,,,0
ALDESOCT,136,Aldersbrook at Southcott Crt WB - #136,,42.99338,-81.307674,,,,,,0
ALDESPR1,137,Aldersbrook at Brandy Ln N Leg NB - #137,,42.996819,-81.314796,,,,,,0
ALDESPR2,138,Aldersbrook at Brandy Ln SB - #138,,42.996742,-81.314911,,,,,,0
ALUMHAL1,141,Alumni Hall EB - #141,,43.006041,-81.274944,,,,,,0
ALUMHAL2,142,Alumni Hall WB - #142,,43.006319,-81.275351,,,,,,0
AMBLGRA2,145,Ambleside at Grasmere Cres WB - #145,,43.016358,-81.285108,,,,,,0
AMBLHILL,147,Ambleside at Hillside WB - #147,,43.017645,-81.280695,,,,,,0
AMBLWHI1,149,Ambleside at Whitehaven WB - #149,,43.019798,-81.292995,,,,,,0
AMBLWHI2,150,286 Ambleside - #150,,43.021005,-81.294306,,,,,,0
ANDOCOM1,154,Andover at Commissioners NB - #154,,42.955725,-81.275336,,,,,,0
ANDOCOM2,155,Andover at Commissioners SB - #155,,42.955721,-81.275497,,,,,,0
ANDOELMG,156,Andover at Elmgrove Cr SB - #156,,42.951688,-81.275511,,,,,,0
ANDONOVE,158,Andover at Novello NB - #158,,42.952839,-81.275472,,,,,,0
ANDOVIG1,160,Andover at Village Green NB - #160,,42.953684,-81.275744,,,,,,0
ANDOVIG2,161,Andover at Village Green SB - #161,,42.95356,-81.275802,,,,,,0
ANDOVIS2,163,Andover at Viscount SB - #163,,42.948172,-81.275288,,,,,,0
ANDOVIS3,164,Andover north of Viscount  NB - #164,,42.948217,-81.275205,,,,,,0
ARGYMAL2,167,Argyle Mall NB - Stop 2 - #167,,43.003045,-81.173569,,,,,,0
ASHBMIL1,168,Ashbury at Millbank EB - #168,,42.937301,-81.202254,,,,,,0
ASHBMIL2,169,Ashbury at Millbank WB - #169,,42.937358,-81.202382,,,,,,0
ASHBSUR1,170,Ashbury at Surrey Cres NB - #170,,42.938413,-81.204312,,,,,,0
ASHBSUR2,171,Ashbury at Surrey Cres SB - #171,,42.938244,-81.2043,,,,,,0
BARKHURO,176,Barker at Huron SB - #176,,43.016179,-81.232,,,,,,0
BASEDUND,184,Base Line at Dundee Place EB - #184,,42.959601,-81.25735,,,,,,0
BASEFAI1,188,Base Line east Fairview Ave EB - #188,,42.962145,-81.225577,,,,,,0
BASEFAI2,189,Base Line west of Fairview Ave WB - #189,,42.962147,-81.226993,,,,,,0
BASEHIG1,192,Base Line at High EB - #192,,42.961362,-81.235476,,,,,,0
BASEMGR1,196,Base Line at McGregor EB - #196,,42.959013,-81.264059,,,,,,0
BASEWEL1,206,Base Line east of Wellington EB - #206,,42.961772,-81.230042,,,,,,0
BASEWEL3,208,Base Line west of Wellington EB - #208,,42.961636,-81.231553,,,,,,0
BASEWEL4,209,Base Line West of Fairview EB - #209,,42.962027,-81.226662,,,,,,0
BASEWEL6,210,Base Line west of Wellington WB - #210,,42.961786,-81.231501,,,,,,0
BASEWES1,211,Base Line east of West St  EB - #211,,42.958703,-81.267666,,,,,,0
BASEWES2,212,30 Base Line WB - #212,,42.959042,-81.264016,,,,,,0
BASEWES3,213,Base Line west of West St  EB - #213,,42.958329,-81.271553,,,,,,0
BASEWES4,214,90 Base Line WB - #214,,42.958764,-81.267069,,,,,,0
BASEWHA2,216,Base Line at Wharncliffe WB - #216,,42.959398,-81.260128,,,,,,0
BEACBAS1,222,Beachwood at Base Line NB - #222,,42.957793,-81.275356,,,,,,0
BEACBAS2,223,Beachwood at Base Line SB - #223,,42.957706,-81.275411,,,,,,0
BEAVBLYT,224,Beaverbrook at Blythwood WB - #224,,42.989057,-81.298029,,,,,,0
BEAVHORI,225,Beaverbrook at Horizon WB - #225,,42.990733,-81.292312,,,,,,0
BEAVOXF1,226,Beaverbrook at Oxford NB - #226,,42.987086,-81.281034,,,,,,0
BEAVOXF2,227,Beaverbrook at Oxford SB - #227,,42.986911,-81.281009,,,,,,0
BEAVWOND,228,Beaverbrook at Wonderland WB - #228,,42.990017,-81.294785,,,,,,0
BECKLANC,229,Beckworth at Lancaster EB - #229,,43.02153,-81.199744,,,,,,0
BECKLANG,230,Beckworth at Langton EB - #230,,43.022025,-81.197964,,,,,,0
BECKSORR,231,Beckworth at Sorrel EB - #231,,43.021237,-81.193988,,,,,,0
BECKTOUK,232,Beckworth at Toukay EB - #232,,43.02084,-81.202245,,,,,,0
BECKTUDO,233,Beckworth at Tudor EB - #233,,43.02187,-81.196218,,,,,,0
BELMHILL,234,Belmont at Hillsborough EB - #234,,42.947155,-81.261834,,,,,,0
BELMNODA,235,Belmont at Notre Dame EB - #235,,42.946298,-81.26779,,,,,,0
BELMSLAW,236,Belmont at St Lawrence EB - #236,,42.946828,-81.264574,,,,,,0
BELMWHAR,237,Belmont at Wharncliffe EB - #237,,42.947323,-81.259069,,,,,,0
BERKGAR1,240,Berkshire at Gardenwood NB - #240,,42.962686,-81.285332,,,,,,0
BERKGAR4,241,Berkshire north of Gardenwood SB - #241,,42.962481,-81.286307,,,,,,0
BERKROB1,242,Berkshire at Robin NB - #242,,42.960797,-81.282859,,,,,,0
BERKROB2,243,Berkshire at Robin SB - #243,,42.961183,-81.283003,,,,,,0
BERKSPR1,244,Berkshire at Springbank NB - #244,,42.964044,-81.290657,,,,,,0
BERKSPR2,245,Berkshire at Springbank SB - #245,,42.963902,-81.290635,,,,,,0
BERKTOP1,246,Berkshire at Topping Lane NB - #246,,42.959633,-81.283813,,,,,,0
BERKTOP2,247,Berkshire at Topping Lane SB - #247,,42.959659,-81.283837,,,,,,0
BES1EXET,250,Bessemer at Exeter NB - #250,,42.927041,-81.212835,,,,,,0
BESSBES3,252,Bessemer at Bessemer Crt 2 NB - #252,,42.932033,-81.211985,,,,,,0
BESSHAR1,253,Bessemer at Hargrieve NB - #253,,42.929243,-81.212852,,,,,,0
BKWTADE1,255,Blackwater east of Adelaide EB - #255,,43.043968,-81.258899,,,,,,0
BLACEDG2,262,Blackacres at Edgehill Cres 1 WB - #262,,43.011095,-81.311339,,,,,,0
BLACEDG4,263,Blackacres at Edgehill Cres WB - #263,,43.012802,-81.315024,,,,,,0
BLACHOM2,265,Blackacres at Hawthorne NB - #265,,43.009442,-81.310468,,,,,,0
BLACWOND,267,Blackacres at Wonderland WB - #267,,43.009924,-81.306375,,,,,,0
BLACWWA2,269,Blackacres at Winding Way WB - #269,,43.012349,-81.319429,,,,,,0
BLUESUN2,274,Bluebell  at Sunningdale SB - #274,,43.042123,-81.272748,,,,,,0
BOLEBASE,275,Boler at Byron Baseline NB - #275,,42.953654,-81.331251,,,,,,0
BOLECOM1,276,Boler south of Commissioners NB - #276,,42.958331,-81.332375,,,,,,0
BOLECOM3,277,Boler north of Commissioners  NB - #277,,42.960072,-81.332683,,,,,,0
BOLEGLEN,278,Boler at Glenrose NB - #278,,42.956735,-81.332025,,,,,,0
BOLEGRIF,279,Boler at Griffith NB - #279,,42.945802,-81.329332,,,,,,0
BOLEWAYN,280,Boler at Wayne Road NB - #280,,42.949368,-81.330188,,,,,,0
BONADUND,281,Bonaventure at Dundas SB - #281,,43.008767,-81.158322,,,,,,0
BONAMORE,283,Bonaventure at Moreau Cr  SB - #283,,43.004695,-81.154708,,,,,,0
BONANAPO,284,Bonaventure at Napoleon Cr SB - #284,,43.000429,-81.154082,,,,,,0
BONASIMP,285,Bonaventure at Simpson Cr SB - #285,,43.007415,-81.156086,,,,,,0
BONATRA2,287,Bonaventure at Trafalgar SB - #287,,42.997744,-81.153783,,,,,,0
BOWBANC,290,Bow at Bancroft EB - #290,,42.991759,-81.16023,,,,,,0
BRADADE1,291,Bradley between Willow & Adelaide  EB - #291,,42.935783,-81.213495,,,,,,0
BRADADE2,292,Bradley at Adelaide  WB - #292,,42.935976,-81.209553,,,,,,0
BRADAGN2,293,Bradley at Willow 1 WB - #293,,42.935252,-81.216461,,,,,,0
BRADDEAR,294,Bradley at Dearness WB - #294,,42.93475,-81.221688,,,,,,0
BRADERNE,295,Bradley at Ernest Ave EB - #295,,42.93429,-81.237428,,,,,,0
BRADJALN,296,Bradley at Jalna EB - #296,,42.934325,-81.240431,,,,,,0
BRADWEL3,297,Bradley east of Wellington Rd EB - #297,,42.934543,-81.222187,,,,,,0
BRADWIL1,298,Bradley at Willow 1 EB - #298,,42.934873,-81.218812,,,,,,0
BRIAHURO,300,Briarhill at Huron SB - #300,,43.016976,-81.226235,,,,,,0
BRIAMEL2,302,Briarhill north of Melsandra SB - #302,,43.02038,-81.227859,,,,,,0
BRUCMARL,303,Bruce at Marley Place EB - #303,,42.972934,-81.251357,,,,,,0
BRUCWORT,304,Bruce at Wortley EB - #304,,42.972448,-81.253366,,,,,,0
BRYDHAL1,305,Brydges at Hale EB - #305,,42.990508,-81.195478,,,,,,0
BRYDHAL2,306,Brydges at Hale WB - #306,,42.990779,-81.194754,,,,,,0
BRYDHIG2,308,Brydges at Highbury WB - #308,,42.989103,-81.199763,,,,,,0
BRYDHIG3,309,Brydges at Highbury  EB - #309,,42.989035,-81.19957,,,,,,0
BURLCAIR,312,Burlington at Cairn EB - #312,,42.963624,-81.203471,,,,,,0
BURLPOMI,313,Burlington at Pond Mills EB - #313,,42.963336,-81.201285,,,,,,0
BYBABELV,314,Byron Baseline at Belvedere EB - #314,,42.952538,-81.33747,,,,,,0
BYBABYRO,316,Byron Baseline at Byron Blvd EB - #316,,42.952929,-81.333022,,,,,,0
BYBAGRIF,318,Byron Baseline at Griffith EB - #318,,42.95237,-81.339405,,,,,,0
CAPUBLSM,321,Capulet Lane at Blacksmith SB - #321,,42.987537,-81.299896,,,,,,0
CAPUCAPW,322,Capulet Lane at Capulet Walk SB - #322,,42.985177,-81.298375,,,,,,0
CARFCAR1,323,Carfrae at Carfrae NB - #323,,42.974211,-81.245171,,,,,,0
CARFCAR2,324,Carfrae & Carfrae St SB - #324,,42.974234,-81.245255,,,,,,0
CARFGRAN,325,Carfrae at Grand NB - #325,,42.971887,-81.244635,,,,,,0
CARFWOOD,326,Carfrae at Woodland Pl SB - #326,,42.972115,-81.244794,,,,,,0
CARLCAPR,327,Carlyle at Caprice Cres NB - #327,,43.003383,-81.1596,,,,,,0
CARLSPE1,328,Carlyle at Speight Cres North NB - #328,,43.006153,-81.161129,,,,,,0
CARLSPE3,329,Carlyle at Speight Cres South NB - #329,,43.005159,-81.16109,,,,,,0
CARLTIFF,330,Carlyle at Tiffany  NB - #330,,43.007857,-81.161588,,,,,,0
CATHBASE,331,Cathcart at Baseline NB - #331,,42.960272,-81.253127,,,,,,0
CATHDEVO,334,Cathcart at Devonshire NB - #334,,42.963072,-81.253339,,,,,,0
CATHELMW,336,Cathcart at Elmwood NB - #336,,42.970601,-81.254468,,,,,,0
CATHLANG,339,Cathcart at Langarth NB - #339,,42.965372,-81.253657,,,,,,0
CATHTECU,340,Cathcart at Tecumseh NB - #340,,42.967892,-81.254039,,,,,,0
CHAMSAND,341,Chambers at Sandybrook NB - #341,,43.039748,-81.270162,,,,,,0
CHAMSKYL,342,Chambers at Skyline NB - #342,,43.041719,-81.271282,,,,,,0
CHAMWHIS,343,Chambers at Whisker SB - #343,,43.038329,-81.270524,,,,,,0
CHEAADE1,344,Cheapside at Adelaide EB - #344,,43.006237,-81.239049,,,,,,0
CHEAADE2,345,Cheapside west of Adelaide WB - #345,,43.006102,-81.240697,,,,,,0
CHEAADE4,346,Cheapside east of Adelaide WB - #346,,43.006567,-81.23826,,,,,,0
CHEABARK,348,Cheapside at Barker EB - #348,,43.009427,-81.22825,,,,,,0
CHEABOU1,349,Cheapside at Boullee EB - #349,,43.010127,-81.225877,,,,,,0
CHEABOU2,350,Cheapside at Boullee WB - #350,,43.010344,-81.225389,,,,,,0
CHEABRA1,351,Cheapside at Brampton EB - #351,,43.007764,-81.233993,,,,,,0
CHEACOL1,352,Cheapside at Colborne EB - #352,,43.003757,-81.248777,,,,,,0
CHEACOL2,353,Cheapside at Colborne WB - #353,,43.003974,-81.248369,,,,,,0
CHEAGAM1,354,Cheapside at Gammage EB - #354,,43.008605,-81.231088,,,,,,0
CHEAGAM2,355,Cheapside at Gammage WB - #355,,43.008478,-81.23179,,,,,,0
CHEAMAI1,357,Cheapside at Maitland EB - #357,,43.004728,-81.24527,,,,,,0
CHEAMAI2,358,Cheapside at Maitland WB - #358,,43.004599,-81.246139,,,,,,0
CHEAMCNA,359,Cheapside at McNay EB - #359,,43.011324,-81.221707,,,,,,0
CHEARICH,360,Cheapside at Richmond WB - #360,,43.001983,-81.255573,,,,,,0
CHEASTER,361,Cheapside at Sterling WB - #361,,43.009301,-81.228968,,,,,,0
CHEAWAT1,364,Cheapside at Waterloo EB - #364,,43.002959,-81.251627,,,,,,0
CHEAWAT2,365,Cheapside at Waterloo WB - #365,,43.003196,-81.251129,,,,,,0
CHEAWIL1,368,Cheapside at William EB - #368,,43.005516,-81.24244,,,,,,0
CHEAWIL2,369,Cheapside at William WB - #369,,43.005588,-81.242502,,,,,,0
CHERCHBL,371,Cherryhill at Cherryhill Blvd WB - #371,,42.99116,-81.277868,,,,,,0
CHERCHC1,372,Cherryhill at Cherryhill Blvd NB - #372,,42.990935,-81.277884,,,,,,0
CHERCHC3,374,Cherryhill east of Cherryhill Cir EB - #374,,42.99177,-81.275942,,,,,,0
CHERCHC4,375,160 Cherryhill Place - #375,,42.991975,-81.275413,,,,,,0
CHEROXF1,378,Cherryhill north of Oxford 1 NB - #378,,42.989354,-81.276458,,,,,,0
CHEROXF2,379,Cherryhill at Oxford SB - #379,,42.989064,-81.276488,,,,,,0
CHERPLA1,381,Cherryhill at Platts Lane EB - #381,,42.99171,-81.273521,,,,,,0
CHERPLA2,382,Cherryhill at Platts Lane WB - #382,,42.991829,-81.273316,,,,,,0
CHIDCHID,384,Chiddington Ave at Chiddington Gt SB - #384,,42.952254,-81.233581,,,,,,0
CHIDHUN1,385,Chiddington at Huntingdon EB - #385,,42.953491,-81.237051,,,,,,0
CHIDHUN2,386,Chiddington at Huntingdon WB - #386,,42.953562,-81.235669,,,,,,0
CHIDUPQ2,389,Chiddington at Upper Queens WB - #389,,42.953264,-81.239981,,,,,,0
CHIDWILK,390,Chiddington at Wilkins NB - #390,,42.952296,-81.233496,,,,,,0
CHIPAPP2,391,Chippewa Elementary School - #391,,43.028257,-81.197729,,,,,,0
CHIPAPP4,392,Chippewa at Appache WB - #392,,43.026565,-81.202334,,,,,,0
CHIPTREV,393,Chippewa at Trevor WB - #393,,43.02762,-81.199787,,,,,,0
CLARAVA1,394,Clarke at Avalon NB - #394,,43.006881,-81.176782,,,,,,0
CLARCHA1,395,Clarke at Charterhouse NB - #395,,42.99043,-81.168805,,,,,,0
CLARCHA2,396,Clarke at Charterhouse SB - #396,,42.988142,-81.167747,,,,,,0
CLARCHA3,397,Marconi Club NB - #397,,42.987716,-81.16735,,,,,,0
CLARCHU1,398,Clarke at Churchill NB - #398,,43.00102,-81.173848,,,,,,0
CLARCHU2,399,Clarke at Churchill  SB - #399,,43.000697,-81.173868,,,,,,0
CLARCULV,400,Clarke at Culver SB - #400,,43.011313,-81.179156,,,,,,0
CLARDUN1,402,Clarke at Dundas NB - #402,,43.005365,-81.176055,,,,,,0
CLARDUN2,403,Clarke at Dundas SB - #403,,43.004938,-81.176017,,,,,,0
CLARFIS1,404,Clarke at Firestone NB - #404,,42.983111,-81.164911,,,,,,0
CLARFIS2,405,Clarke at Firestone SB - #405,,42.98371,-81.165357,,,,,,0
CLARGORE,406,Clarke at Gore NB - #406,,42.981642,-81.164152,,,,,,0
CLARHERB,407,Clarke at Herbert SB - #407,,43.009939,-81.178489,,,,,,0
CLARPACI,409,Clarke at Pacific NB - #409,,43.011092,-81.178909,,,,,,0
CLARPKH1,410,Clarke at Parkhurst NB - #410,,43.008731,-81.177735,,,,,,0
CLARPKH2,411,Clarke at Parkhurst SB - #411,,43.009135,-81.178086,,,,,,0
CLARROY1,412,Clarke at Royal  NB - #412,,42.996122,-81.171725,,,,,,0
CLARROY2,413,Clarke at Royal SB - #413,,42.996934,-81.172318,,,,,,0
CLARROY3,414,Sunrise Baptist Church - #414,,42.997734,-81.172518,,,,,,0
CLARSUD2,416,Clarke at Sudbury SB - #416,,42.994076,-81.17083,,,,,,0
CLARTRA1,417,Clarke north of Trafalgar NB - #417,,42.993016,-81.170087,,,,,,0
CLARTRA2,418,Clarke north of Trafalgar SB - #418,,42.993134,-81.170342,,,,,,0
CLARTRA4,419,Clarke south of Trafalgar SB - #419,,42.990993,-81.16926,,,,,,0
CLARWAV1,420,Clarke Road Secondary School - #420,,42.999051,-81.172879,,,,,,0
CLARWAV2,421,Clarke at Wavell SB - #421,,42.998256,-81.172885,,,,,,0
COLBCEN1,432,Colborne at Central NB - #432,,42.992777,-81.242853,,,,,,0
COLBCEN2,433,Colborne at Central SB - #433,,42.992253,-81.242789,,,,,,0
COLBDUFF,434,Colborne at Dufferin SB - #434,,42.989251,-81.241198,,,,,,0
COLBHILL,435,Colborne at Hill NB - #435,,42.977897,-81.235331,,,,,,0
COLBHOPE,436,Colborne at Hope SB - #436,,42.990934,-81.242065,,,,,,0
COLBOXFD,438,Colborne at Oxford SB - #438,,42.997293,-81.245316,,,,,,0
COLBPAM1,439,Colborne at Pall Mall NB - #439,,42.994937,-81.243983,,,,,,0
COLBPAM2,440,Colborne at Pall Mall SB - #440,,42.994842,-81.244053,,,,,,0
COLBPIC2,442,Colborne at Piccadilly  SB - #442,,42.99633,-81.244841,,,,,,0
COLBPRIN,443,Colborne at Princess NB - #443,,42.990303,-81.241638,,,,,,0
COMMADE1,445,Commissioners at Adelaide EB - #445,,42.959153,-81.2149,,,,,,0
COMMADE2,446,Commissioners east of Adelaide WB - #446,,42.959517,-81.214417,,,,,,0
COMMADE4,447,Commissioners west of Adelaide WB - #447,,42.958643,-81.220485,,,,,,0
COMMBOL2,448,Commissioners at Boler WB - #448,,42.959479,-81.331786,,,,,,0
COMMDEV1,449,Commissioners at Deveron EB - #449,,42.962324,-81.194459,,,,,,0
COMMDEV2,450,Commissioners west of Deveron 1 WB - #450,,42.962337,-81.195987,,,,,,0
COMMDEV4,452,Commissioners west of Deveron 2 WB - #452,,42.962191,-81.1969,,,,,,0
COMMDEV6,453,Commissioners east of Deveron WB - #453,,42.962645,-81.193643,,,,,,0
COMMFRO1,454,Commissioners at Frontenac EB - #454,,42.960312,-81.20809,,,,,,0
COMMFRO2,455,Commissioners at Frontenac WB - #455,,42.960331,-81.209188,,,,,,0
COMMGRD1,456,Commissioners at Gordon EB - #456,,42.956583,-81.264504,,,,,,0
COMMGRD2,457,Commissioners at Gordon WB - #457,,42.956814,-81.263811,,,,,,0
COMMHAM2,458,Commissioners east of Halls Mills WB - #458,,42.960372,-81.334565,,,,,,0
COMMHUXL,461,Commissioners at Huxley WB - #461,,42.95665,-81.267432,,,,,,0
COMMKIE1,462,Commissioners at King Edward EB - #462,,42.960762,-81.205452,,,,,,0
COMMKIE2,463,Commissioners at King Edward WB - #463,,42.960842,-81.205928,,,,,,0
COMMLEA1,464,Commissioners at Leathorne EB - #464,,42.959597,-81.212585,,,,,,0
